"year","observado","tendencia","estacional","irregular"
1870,9.03815503109315,NA,0,NA
1871,9.12816267395471,NA,0,NA
1872,8.99953969570729,NA,0,NA
1873,9.08417133682239,NA,0,NA
1874,9.01855404682532,NA,0,NA
1875,9.10053719604137,9.08276517389864,0,0.0177720221427276
1876,9.04091427403568,9.08014493967841,0,-0.0392306656427248
1877,9.08152011029557,9.0476216600907,0,0.0338984502048731
1878,9.32923219121587,9.01824736513548,0,0.310984826080386
1879,9.07864010056026,8.98172466375181,0,0.0969154368084517
1880,9.01099025633346,8.96232089244964,0,0.0486693638838176
1881,9.00933245467058,8.96156211306461,0,0.0477703416059665
1882,8.7704065984899,8.98487517332898,0,-0.21446857483908
1883,8.67642245119992,9.01596337710978,0,-0.339540925909857
1884,8.68242162160199,9.00419164374026,0,-0.321770022138267
1885,8.80511256250146,9.0012560292467,0,-0.196143466745239
1886,9.09219062280604,9.00682518421873,0,0.0853654385873099
1887,9.29735793694368,9.01440982203108,0,0.282948114912607
1888,9.4234903518844,9.06652261548409,0,0.356967736400305
1889,9.19974312415114,9.07941600010152,0,0.12032712404962
1890,9.0463483411311,9.10207796184868,0,-0.0557296207175799
1891,9.07225096102583,9.12896762048513,0,-0.0567166594592994
1892,9.09276347060639,9.11914423946805,0,-0.026380768861662
1893,9.34364732647305,9.11726205862522,0,0.226385267847835
1894,8.81824968199159,9.11641519890415,0,-0.29816551691256
1895,8.93170320082086,9.10334162732353,0,-0.171638426502676
1896,9.1008988075024,9.1024055074705,0,-0.0015066999680986
1897,8.9841334316181,9.10369627473889,0,-0.119562843120786
1898,9.27665394767253,9.05574486236007,0,0.220909085312464
1899,9.41417489495266,8.98376429494947,0,0.430410600003189
1900,9.05593383676435,8.97245961591988,0,0.0834742208444723
1901,9.03605102274769,8.96907957827178,0,0.0669714444759109
1902,9.08644940097813,8.94798979773559,0,0.138459603242536
1903,8.56529793443942,8.94599374886971,0,-0.380695814430291
1904,8.55186108495644,8.94124084296741,0,-0.389379758010966
1905,8.69389821266607,8.90319289740679,0,-0.209294684740716
1906,8.89452278669175,8.88710816393647,0,0.00741462275528093
1907,8.86891122160436,8.84293040727239,0,0.0259808143319642
1908,8.96217689409342,8.78753107611142,0,0.174645817981999
1909,9.2243719827472,8.77855825173582,0,0.445813731011382
1910,8.99564749378585,8.82738606653407,0,0.168261427251773
1911,8.8790017685908,8.86576866289444,0,0.0132331056963562
1912,8.55009569944291,8.88874119540312,0,-0.338645495960215
1913,8.47705675820741,8.87738639459061,0,-0.400329636383198
1914,8.46659686630778,8.86548132836646,0,-0.398884462058678
1915,9.08896704773728,8.79912075914157,0,0.289846288595706
1916,9.11610677263011,8.76375506035842,0,0.352351712271686
1917,9.14722064428725,8.73471297539859,0,0.412507668888667
1918,8.74400841266671,8.75577508644475,0,-0.0117666737780358
1919,8.83122116562773,8.8026512161476,0,0.0285699494801257
1920,8.4944057212735,8.83168821560484,0,-0.33728249433134
1921,8.60662480717118,8.82005110953706,0,-0.21342630236588
1922,8.55953883403258,8.82236435005198,0,-0.262825516019399
1923,8.78177892095068,8.81212649193291,0,-0.0303475709822312
1924,8.99269418493885,8.83316921645542,0,0.159524968483437
1925,8.78600386033739,8.84051207603197,0,-0.0545082156945789
1926,8.9609588809917,8.91358143922636,0,0.0473774417653434
1927,9.14155241829415,8.98822413479344,0,0.153328283500716
1928,9.03460420497752,9.05092034611732,0,-0.0163161411398018
1929,8.97547838241429,9.069571983157,0,-0.094093600742708
1930,8.91199262096978,9.07222356346666,0,-0.160230942496884
1931,9.29816871641185,9.11067867516116,0,0.187490041250692
1932,9.42769445840901,9.13410003960784,0,0.293594418801177
1933,9.2491971585953,9.14549257677012,0,0.10370458182518
1934,8.98694692838711,9.1523288860096,0,-0.165381957622492
