"year","promedio_anual"
1870,9.03815503109315
1871,9.12816267395471
1872,8.99953969570729
1873,9.08417133682239
1874,9.01855404682532
1875,9.10053719604137
1876,9.04091427403568
1877,9.08152011029557
1878,9.32923219121587
1879,9.07864010056026
1880,9.01099025633346
1881,9.00933245467058
1882,8.7704065984899
1883,8.67642245119992
1884,8.68242162160199
1885,8.80511256250146
1886,9.09219062280604
1887,9.29735793694368
1888,9.4234903518844
1889,9.19974312415114
1890,9.0463483411311
1891,9.07225096102583
1892,9.09276347060639
1893,9.34364732647305
1894,8.81824968199159
1895,8.93170320082086
1896,9.1008988075024
1897,8.9841334316181
1898,9.27665394767253
1899,9.41417489495266
1900,9.05593383676435
1901,9.03605102274769
1902,9.08644940097813
1903,8.56529793443942
1904,8.55186108495644
1905,8.69389821266607
1906,8.89452278669175
1907,8.86891122160436
1908,8.96217689409342
1909,9.2243719827472
1910,8.99564749378585
1911,8.8790017685908
1912,8.55009569944291
1913,8.47705675820741
1914,8.46659686630778
1915,9.08896704773728
1916,9.11610677263011
1917,9.14722064428725
1918,8.74400841266671
1919,8.83122116562773
1920,8.4944057212735
1921,8.60662480717118
1922,8.55953883403258
1923,8.78177892095068
1924,8.99269418493885
1925,8.78600386033739
1926,8.9609588809917
1927,9.14155241829415
1928,9.03460420497752
1929,8.97547838241429
1930,8.91199262096978
1931,9.29816871641185
1932,9.42769445840901
1933,9.2491971585953
1934,8.98694692838711
1935,9.02186156834517
1936,9.20901008897683
1937,9.21859388990516
1938,9.26687032707927
1939,9.10980360661183
1940,9.06784286728331
1941,9.15268783270933
1942,9.32414240453026
1943,8.91827117179558
1944,9.39437984264073
1945,9.35064222962353
1946,8.99413150810083
1947,8.72482480259309
1948,9.03042845008823
1949,8.87641304712388
1950,8.91263221655111
1951,9.28372860086202
1952,9.59959339162427
1953,9.38481114986453
1954,9.23443670898078
1955,9.36105911932894
1956,9.24225534672734
1957,9.15187632502174
1958,9.34153899495061
1959,9.02995634521777
1960,9.17949335831024
1961,8.97681378254177
1962,8.95886547546728
1963,8.82727354012156
1964,8.96820110895935
1965,9.07361651201612
1966,9.21775954875901
1967,9.01359174550617
1968,8.71723723482705
1969,8.7261461209457
1970,8.65945012612832
1971,8.80765466333535
1972,8.30092070876083
1973,8.63741827622383
1974,8.38537060568002
1975,8.6768993703814
1976,8.45970815990281
1977,8.86969232928192
1978,8.79712540284897
1979,8.95735755891565
1980,8.856251313856
1981,9.09107265925381
1982,8.54144236439934
1983,8.74766863237071
1984,8.70118230137035
1985,8.54411704657037
1986,8.52627820586962
1987,9.04247683274392
1988,9.02216496747501
1989,8.83917439232084
1990,8.66822700543813
1991,8.63101246866154
1992,8.65489611235906
1993,8.69587134250192
1994,8.63925364264992
1995,9.06305811099514
1996,9.25017674403909
1997,9.48493235261799
1998,9.62112127100971
1999,9.27234821186589
2000,9.25595008846943
2001,9.45519294322703
2002,9.18512137958085
2003,9.45655287375457
2004,9.46557199725912
2005,9.74370355363611
2006,9.76564059817343
2007,9.67388258996352
2008,9.53299612745548
2009,9.1972472248858
2010,9.84114275890577
2011,9.29033104605696
2012,9.71898361835421
2013,9.43550937090296
2014,9.20938914497057
2015,8.66038849910363
2016,9.12687495579796
2017,9.31065126165987
2018,8.96037485565168
2019,9.36670284567321
2020,9.26517596534022
2021,9.48741191987451
2022,9.59493343802327
2023,9.81258519781726
2024,9.829723075451
2025,9.46199106743411
