"date","year","month","amoc_proxy_sst"
1870-01-16,1870,1,7.33099006174069
1870-02-14,1870,2,7.14816533415769
1870-03-16,1870,3,7.00749490766269
1870-04-15,1870,4,7.21980688687222
1870-05-16,1870,5,7.95428970513997
1870-06-16,1870,6,9.40112831056289
1870-07-16,1870,7,11.2938763338105
1870-08-16,1870,8,12.5789738653584
1870-09-16,1870,9,11.7415301283015
1870-10-16,1870,10,10.128417351784
1870-11-16,1870,11,8.86425071030888
1870-12-16,1870,12,7.78893677741836
1871-01-16,1871,1,6.94620875687968
1871-02-15,1871,2,6.40114026916645
1871-03-16,1871,3,6.82254500965524
1871-04-16,1871,4,7.3224927866533
1871-05-16,1871,5,8.31758433873397
1871-06-16,1871,6,10.0247003793945
1871-07-16,1871,7,12.100230535381
1871-08-16,1871,8,13.2084777147536
1871-09-16,1871,9,12.1865023331642
1871-10-16,1871,10,10.067292335403
1871-11-16,1871,11,8.54769401631808
1871-12-16,1871,12,7.59308361195355
1872-01-16,1872,1,6.63225075697374
1872-02-15,1872,2,6.04104927996309
1872-03-16,1872,3,6.4928969214097
1872-04-16,1872,4,7.04260481300409
1872-05-16,1872,5,8.07370349535834
1872-06-16,1872,6,9.80011328308479
1872-07-16,1872,7,11.8821426479639
1872-08-16,1872,8,13.096254728816
1872-09-16,1872,9,12.3088416543617
1872-10-16,1872,10,10.1379338667862
1872-11-16,1872,11,8.69586561865655
1872-12-16,1872,12,7.79081928210939
1873-01-16,1873,1,7.12270554838111
1873-02-15,1873,2,6.76742618241674
1873-03-16,1873,3,6.79742833312591
1873-04-16,1873,4,7.07966987715014
1873-05-16,1873,5,7.95673798416138
1873-06-16,1873,6,9.59001705787428
1873-07-16,1873,7,11.5855446453801
1873-08-16,1873,8,12.7595512264004
1873-09-16,1873,9,12.0980485064055
1873-10-16,1873,10,10.4629190681318
1873-11-16,1873,11,8.93481787647434
1873-12-16,1873,12,7.85518973596699
1874-01-16,1874,1,7.0236431606626
1874-02-15,1874,2,6.59686106065598
1874-03-16,1874,3,6.60010184878803
1874-04-16,1874,4,6.94484646179155
1874-05-16,1874,5,8.03273147213238
1874-06-16,1874,6,9.59265041285676
1874-07-16,1874,7,11.5102603847814
1874-08-16,1874,8,12.8572602514172
1874-09-16,1874,9,12.0986870232531
1874-10-16,1874,10,10.4407416842715
1874-11-16,1874,11,8.82119795896917
1874-12-16,1874,12,7.70366684232412
1875-01-16,1875,1,6.92945435164467
1875-02-15,1875,2,6.78800814832751
1875-03-16,1875,3,7.01293483981313
1875-04-16,1875,4,7.24918270117426
1875-05-16,1875,5,8.02688779280617
1875-06-16,1875,6,9.61417045297904
1875-07-16,1875,7,11.6121232803069
1875-08-16,1875,8,12.9405255460066
1875-09-16,1875,9,12.181031105929
1875-10-16,1875,10,10.2889458469388
1875-11-16,1875,11,8.83428574953736
1875-12-16,1875,12,7.728896537033
1876-01-16,1876,1,7.03766727114038
1876-02-15,1876,2,6.59277442835689
1876-03-16,1876,3,6.7201644839059
1876-04-16,1876,4,7.22255073190934
1876-05-16,1876,5,7.96668693281106
1876-06-16,1876,6,9.43128201442821
1876-07-16,1876,7,11.6954990404109
1876-08-16,1876,8,12.9099563076349
1876-09-16,1876,9,12.1626614891177
1876-10-16,1876,10,10.3176654878672
1876-11-16,1876,11,8.70834882206694
1876-12-16,1876,12,7.72571427877878
1877-01-16,1877,1,7.07082871151872
1877-02-15,1877,2,6.66095496042461
1877-03-16,1877,3,6.74956785433935
1877-04-16,1877,4,7.29099842938763
1877-05-16,1877,5,8.06334380665512
1877-06-16,1877,6,9.69572407891199
1877-07-16,1877,7,11.7480856498478
1877-08-16,1877,8,12.8424281521575
1877-09-16,1877,9,11.9224768592991
1877-10-16,1877,10,10.2199535778354
1877-11-16,1877,11,8.74682187912199
